Wall time,Step,Value
1650448390.0543787,16384,1.7872068881988525
1650448399.1989532,49152,1.7613906860351562
1650448403.886952,65536,1.722578763961792
1650448408.3343441,81920,1.73716402053833
1650448431.3819375,163840,1.7026748657226562
1650448436.0328064,180224,1.683589220046997
1650448440.9252734,196608,1.684205174446106
1650448455.7401097,245760,1.6623824834823608
1650448460.6458316,262144,1.66762113571167
1650448465.4218388,278528,1.6378967761993408
1650448475.027537,311296,1.616135835647583
1650448480.0292954,327680,1.6272673606872559
1650448485.0401413,344064,1.508705735206604
1650448494.849749,376832,1.5410314798355103
1650448499.7564082,393216,1.5560617446899414
1650448514.5871997,442368,1.579702615737915
1650448519.5816011,458752,1.5536562204360962
1650448524.4294167,475136,1.5633922815322876
1650448529.1904936,491520,1.5455328226089478
1650448533.9641848,507904,1.579949140548706
1650448548.7982605,557056,1.5544474124908447
1650448553.5331624,573440,1.5545027256011963
1650448563.6362965,606208,1.510455846786499
1650448568.8141341,622592,1.5453829765319824
1650448573.6624298,638976,1.5118446350097656
1650448578.6174047,655360,1.5199799537658691
1650448583.4395914,671744,1.4962217807769775
1650448617.4108715,786432,1.5522384643554688
1650448622.323188,802816,1.579958200454712
1650448627.100563,819200,1.570062279701233
1650448632.1818478,835584,1.5562113523483276
1650448637.2535598,851968,1.5487178564071655
1650448642.2614238,868352,1.5528233051300049
1650448647.1071408,884736,1.5111594200134277
1650448652.0738006,901120,1.567732572555542
1650448656.8831177,917504,1.4831509590148926
1650448666.5947692,950272,1.4740772247314453
1650448681.5973217,999424,1.4864311218261719
1650448686.6415012,1015808,1.4653939008712769
1650448691.6017125,1032192,1.4195725917816162
1650448696.4675741,1048576,1.5051758289337158
1650448706.4132547,1081344,1.5005040168762207
1650448711.297733,1097728,1.4934351444244385
1650448716.1588213,1114112,1.4664655923843384
1650448721.2564409,1130496,1.491640567779541
1650448730.86293,1163264,1.4700051546096802
1650448735.7385988,1179648,1.4661462306976318
1650448745.5661724,1212416,1.437800407409668
1650448755.5296843,1245184,1.4844577312469482
1650448765.2277842,1277952,1.445961594581604
1650448769.9813688,1294336,1.5020184516906738
1650448774.8556626,1310720,1.4536786079406738
1650448779.730083,1327104,1.4452710151672363
1650448789.4924014,1359872,1.4810082912445068
1650448794.3434737,1376256,1.4417650699615479
1650448804.0507548,1409024,1.4230810403823853
1650448808.9184525,1425408,1.3929513692855835
1650448813.623098,1441792,1.4562275409698486
1650448823.2366273,1474560,1.441025972366333
1650448828.1573918,1490944,1.4039287567138672
1650448852.3533852,1572864,1.4574313163757324
1650448871.9387677,1638400,1.4485502243041992
1650448876.729165,1654784,1.4815161228179932
1650448891.58351,1703936,1.550575852394104
1650448896.4241455,1720320,1.5597889423370361
1650448906.2313032,1753088,1.5652738809585571
1650448911.3746946,1769472,1.5793174505233765
1650448916.1915746,1785856,1.546684980392456
1650448921.1898665,1802240,1.5752471685409546
1650448926.226631,1818624,1.5631952285766602
1650448931.143226,1835008,1.5487322807312012
1650448936.1184192,1851392,1.559445858001709
1650448946.0667498,1884160,1.5580081939697266
1650448950.990744,1900544,1.5436325073242188
1650448955.8520663,1916928,1.5475214719772339
1650448980.701736,1998848,1.5308715105056763
1650449000.810084,2064384,1.5345834493637085
1650449005.931846,2080768,1.5618319511413574
1650449015.8250642,2113536,1.5703363418579102
1650449020.443448,2129920,1.5724313259124756
1650449025.4166772,2146304,1.5962786674499512
1650449030.2069056,2162688,1.5902427434921265
1650449035.114161,2179072,1.558477520942688
1650449044.9691753,2211840,1.5223867893218994
1650449054.7647176,2244608,1.509251356124878
1650449059.6151602,2260992,1.5023541450500488
1650449064.540648,2277376,1.5197925567626953
1650449069.3237314,2293760,1.4967117309570312
1650449088.962472,2359296,1.5070072412490845
1650449093.897279,2375680,1.518373966217041
1650449098.8493536,2392064,1.5622416734695435
1650449103.8405445,2408448,1.512434959411621
1650449108.855931,2424832,1.5518419742584229
1650449123.868612,2473984,1.4978224039077759
1650449144.281858,2539520,1.4958515167236328
1650449154.4273856,2572288,1.485424518585205
1650449159.488584,2588672,1.496652364730835
1650449169.3979263,2621440,1.4974579811096191
1650449174.3457704,2637824,1.492717981338501
1650449184.5001252,2670592,1.4809975624084473
1650449189.4766483,2686976,1.477757215499878
1650449194.523677,2703360,1.4750008583068848
1650449204.6084847,2736128,1.4535481929779053
1650449214.7798364,2768896,1.4457895755767822
1650449224.9947224,2801664,1.440211296081543
1650449230.2237968,2818048,1.440295696258545
1650449235.39325,2834432,1.4255516529083252
1650449245.8592725,2867200,1.417995572090149
1650449251.0401912,2883584,1.4191070795059204
1650449256.132685,2899968,1.4409677982330322
1650449261.2257986,2916352,1.4480960369110107
1650449266.4516504,2932736,1.4012579917907715
1650449277.0026383,2965504,1.4205713272094727
1650449282.2136927,2981888,1.4442574977874756
1650449287.4788818,2998272,1.4144983291625977
1650449292.5587876,3014656,1.4332035779953003
1650449297.761629,3031040,1.3773245811462402
1650449303.1097188,3047424,1.3823554515838623
1650449308.2884603,3063808,1.401094675064087
1650449324.4080446,3112960,1.360276460647583
1650449329.7475011,3129344,1.3717542886734009
1650449335.1778426,3145728,1.3481796979904175
1650449340.529692,3162112,1.3268133401870728
1650449356.5729616,3211264,1.3698985576629639
1650449372.9473379,3260416,1.2923263311386108
1650449378.4240935,3276800,1.3180654048919678
1650449383.865046,3293184,1.2912533283233643
1650449394.7917678,3325952,1.2631438970565796
1650449400.3257248,3342336,1.2975621223449707
1650449405.717993,3358720,1.3028851747512817
1650449411.2838352,3375104,1.2714297771453857
1650449422.2485542,3407872,1.277116298675537
1650449433.4383817,3440640,1.2063634395599365
1650449444.5901663,3473408,1.2448928356170654
1650449455.4209342,3506176,1.1928207874298096
1650449466.1770916,3538944,1.1756142377853394
