id,length,success,spl
0,885.2,0.27,0.009393132661140611
100000,738.24,0.49,0.019711419211071557
1000000,341.72,0.88,0.1017037114463854
10000000,103.27,0.98,0.2552082672925787
10100000,117.03,0.99,0.2091913513841409
10200000,83.81,1.0,0.24898027684175264
10300000,111.38,0.99,0.23328511007635036
10400000,113.04,0.99,0.26083752613587013
10500000,101.2,0.99,0.23655710133197733
10600000,105.62,0.99,0.21877964670517203
10700000,99.39,0.99,0.2297298067750672
10800000,90.51,1.0,0.262912159907647
10900000,91.9,1.0,0.25377095029959074
1100000,347.2,0.89,0.09070952581515927
11000000,87.06,1.0,0.2539638142230008
11100000,88.4,1.0,0.24972826883751487
11200000,95.58,1.0,0.22301577466628228
11300000,100.41,0.99,0.2477719637204788
11400000,83.96,1.0,0.27092721849915513
11500000,104.73,1.0,0.19037230490250623
11600000,109.72,1.0,0.22791562364133053
11700000,92.08,1.0,0.23008214744350874
11800000,95.84,0.99,0.24779967019616592
11900000,95.6,1.0,0.2154957167704877
1200000,323.18,0.89,0.11607883271333447
12000000,102.6,1.0,0.2183095152346363
12100000,113.09,0.99,0.21922464639965825
12200000,105.39,1.0,0.2249227367339875
12300000,96.7,1.0,0.23554475679869274
12400000,97.79,1.0,0.22561043598311628
12500000,77.18,1.0,0.27661496981566885
12600000,87.02,1.0,0.25089458051999014
12700000,86.1,1.0,0.265583767315573
12800000,96.87,1.0,0.22434315526879622
12900000,90.84,0.99,0.24694431500012914
1300000,304.05,0.9,0.11309327813219104
13000000,95.73,0.99,0.23767545827412728
13100000,109.54,0.98,0.24059202546609512
13200000,88.5,1.0,0.27964082502910076
13300000,89.51,1.0,0.24217488280609245
13400000,83.4,1.0,0.26474168436800016
13500000,84.43,1.0,0.23964447814591586
13600000,92.71,1.0,0.25050580185172533
13700000,90.32,1.0,0.26405644412012685
13800000,87.61,1.0,0.2475912761925491
13900000,86.95,1.0,0.24784727804291853
1400000,303.27,0.94,0.1012471004654925
14000000,110.16,1.0,0.21962257195251758
14100000,112.43,0.97,0.2561921202726996
14200000,83.86,1.0,0.253647969163411
14300000,85.57,1.0,0.2598062110760442
14400000,95.44,1.0,0.23689369834529425
14500000,89.0,1.0,0.24786119853059954
14600000,102.33,0.99,0.21967518141910336
14700000,90.78,1.0,0.27274769546195243
14800000,89.7,1.0,0.2551903503384461
14900000,90.85,0.99,0.26739273067982244
1500000,260.9,0.97,0.12502951166611243
15000000,86.94,1.0,0.24536890012815468
15100000,87.14,1.0,0.2581509734832123
15200000,96.53,0.99,0.25954028902220333
15300000,104.33,0.98,0.2548811354908665
15400000,79.3,1.0,0.28960037398508487
15500000,98.74,1.0,0.23631059673223104
