step,return,length,success
16384,1.5475012,214.5,1.0
32768,0.5105566,344.6666666666667,1.0
49152,-0.38468844,455.9375,1.0
65536,-4.5567636,845.8059701492538,0.3582089552238806
81920,-4.3553934,821.5694444444445,0.375
98304,-3.9797583,785.0340909090909,0.4431818181818182
114688,-4.070842,797.2,0.47
131072,-4.504398,831.96,0.39
147456,-3.9272919,779.08,0.48
163840,-3.6741886,757.85,0.54
180224,-4.040143,784.78,0.48
196608,-4.4497,804.56,0.36
212992,-3.9460447,758.97,0.44
229376,-3.8647442,758.28,0.52
245760,-3.6078913,747.12,0.56
262144,-3.0066848,693.13,0.63
278528,-2.8009837,675.33,0.68
294912,-2.9903355,684.54,0.61
311296,-3.1546366,707.67,0.61
327680,-3.440988,735.49,0.58
344064,-3.4749885,741.45,0.58
360448,-3.2887344,730.86,0.64
376832,-3.2019324,723.2,0.65
393216,-3.3355339,729.8,0.6
409600,-3.5494337,756.64,0.56
425984,-3.1283312,707.63,0.57
442368,-3.0931318,700.95,0.56
458752,-2.8366811,678.91,0.61
475136,-2.7710812,675.2,0.64
491520,-2.7136304,676.71,0.65
507904,-2.8885806,701.79,0.66
524288,-3.1145837,714.05,0.59
540672,-3.5493371,749.26,0.51
557056,-3.2766852,723.1,0.54
573440,-3.5691369,751.57,0.51
589824,-3.4817355,747.54,0.54
606208,-3.328234,734.38,0.56
622592,-3.3174343,743.52,0.63
638976,-3.047432,719.08,0.66
655360,-3.009832,717.59,0.67
671744,-2.88808,707.82,0.7
688128,-2.355577,646.53,0.72
704512,-2.3886764,648.67,0.71
720896,-2.2441738,634.17,0.74
737280,-1.6441178,577.17,0.82
753664,-1.899518,609.76,0.8
770048,-1.9667679,621.36,0.83
786432,-2.1757715,641.42,0.78
802816,-2.2419236,638.23,0.73
819200,-2.0771723,615.98,0.73
835584,-2.3404768,633.98,0.66
851968,-2.2953243,633.14,0.69
868352,-2.003971,608.55,0.72
884736,-2.5138254,662.8,0.66
901120,-2.4044237,651.84,0.66
