id,length,success,spl
0,832.18,0.39,0.014402834071313278
100000,707.12,0.59,0.023497384061187045
1000000,301.19,0.93,0.10904987443486086
10000000,109.88,0.99,0.235064393446093
10100000,121.51,0.99,0.2314619239639466
10200000,113.1,1.0,0.2384810970792246
10300000,118.23,0.97,0.25184110635827356
10400000,90.09,1.0,0.2374769759603585
10500000,110.23,0.98,0.2695420325898377
10600000,92.62,1.0,0.23449375502795292
10700000,103.72,1.0,0.23769782221753286
10800000,102.8,0.99,0.24420630992100542
10900000,111.5,0.99,0.22618235988692725
1100000,265.92,0.95,0.10946641251235485
11000000,111.05,0.98,0.24683899800255524
11100000,96.11,1.0,0.25131261792181153
11200000,109.18,0.99,0.2405264128324528
11300000,90.66,1.0,0.2561823093651544
11400000,83.46,1.0,0.2665049899124767
11500000,105.76,0.99,0.24826086935094654
11600000,97.83,0.99,0.280542668753931
11700000,83.05,1.0,0.27471212914341714
11800000,93.0,1.0,0.2500624821182949
11900000,82.16,1.0,0.26230498386417217
1200000,254.95,0.99,0.13322011486264304
12000000,102.71,1.0,0.25099702035395355
12100000,86.64,1.0,0.23653765822689166
12200000,98.34,0.99,0.26561587219090316
12300000,82.88,1.0,0.24273195890849478
12400000,113.7,0.99,0.23131791759242468
12500000,83.79,1.0,0.24506791331675956
12600000,104.59,0.99,0.25534157515602746
12700000,86.83,1.0,0.2778043631309077
12800000,101.83,0.98,0.26952997690265174
12900000,87.87,1.0,0.23859148337277916
1300000,267.8,0.92,0.11964759501185758
13000000,90.51,1.0,0.23555435165439853
13100000,91.02,1.0,0.2596468996990602
13200000,88.68,1.0,0.27459160016454087
13300000,89.77,1.0,0.2301090851640403
13400000,94.36,0.99,0.273274270617156
13500000,97.07,0.99,0.2596448996484819
13600000,93.29,1.0,0.2598570598069954
13700000,99.4,1.0,0.23701224469154136
13800000,93.94,1.0,0.2630990553313535
13900000,84.36,0.99,0.284527387744426
1400000,234.29,0.95,0.1253351185190731
14000000,99.78,1.0,0.24110520804005225
14100000,87.57,1.0,0.2463219412063017
14200000,84.07,1.0,0.2565992449781241
14300000,104.65,0.99,0.2431448485694293
14400000,81.33,1.0,0.2775270934552413
14500000,105.51,1.0,0.2254425282590639
14600000,85.38,1.0,0.25272108094989504
14700000,87.05,1.0,0.2614563847528617
14800000,79.95,1.0,0.2733151576553037
14900000,85.94,1.0,0.2683433487260222
1500000,280.37,0.91,0.1331591147281959
15000000,81.43,1.0,0.2638135776897909
15100000,88.82,1.0,0.2709520244973485
15200000,86.73,1.0,0.26334497349049346
15300000,92.83,0.99,0.2720133177816413
15400000,80.15,1.0,0.28102408815568153
15500000,90.17,0.99,0.2848902521979762
15600000,97.39,0.99,0.2300678301538518
15700000,84.83,1.0,0.2817666488184514
15800000,96.55,0.99,0.24338282550399262
15900000,84.06,1.0,0.27349718505357884
1600000,270.49,0.92,0.13565322191293577
16000000,97.65,1.0,0.2586433767126457
16100000,86.26,1.0,0.27975478067751025
16200000,84.97,1.0,0.2413213087869376
16300000,76.1,1.0,0.28200628905004005
16400000,86.63,1.0,0.22777530452162864
16500000,102.66,0.99,0.2521257417297949
16600000,84.62,1.0,0.25392791235624484
16700000,82.96,1.0,0.2625343478528805
16800000,79.84,1.0,0.24895158657071004
16900000,89.1,1.0,0.2746793070510172
1700000,280.67,0.92,0.12816326102816952
17000000,89.29,1.0,0.2401140196496485
17100000,83.76,1.0,0.2717717196331692
17200000,95.44,1.0,0.22607481352813402
17300000,85.13,1.0,0.23985999524623658
17400000,95.44,1.0,0.24007845272741082
17500000,92.46,1.0,0.2403279725226005
17600000,83.14,1.0,0.2512857744603289
17700000,85.39,1.0,0.25115081438401565
17800000,86.08,1.0,0.2690005073005257
17900000,88.22,0.99,0.2678629626740554
1800000,223.94,0.96,0.1555944056319172
18000000,87.65,1.0,0.2309538884024347
18100000,78.67,1.0,0.29443444826318876
18200000,87.02,1.0,0.2724029409335847
18300000,86.8,0.99,0.26557308845177785
18400000,83.67,1.0,0.2668804825743956
18500000,95.55,0.99,0.2545878023161363
18600000,83.47,1.0,0.25310006497891163
18700000,85.55,1.0,0.24225084155274884
18800000,81.52,1.0,0.25191363361241087
18900000,77.29,1.0,0.2844185165123647
1900000,201.38,0.99,0.13930795836906268
19000000,85.36,1.0,0.2584399593615025
19100000,83.39,1.0,0.2543084804671416
19200000,82.22,1.0,0.24614934900668017
19300000,92.36,0.99,0.2358266788110833
19400000,83.59,0.99,0.2819683037140717
19500000,80.25,1.0,0.2816762260568396
19600000,78.89,1.0,0.26630378551113143
19700000,69.93,1.0,0.31195179998159817
19800000,96.4,0.98,0.2880640002052122
19900000,91.88,0.99,0.2620425360690078
200000,590.44,0.74,0.034844935023894644
2000000,205.97,0.99,0.13904162017313845
20000000,81.45,1.0,0.26196718150745046
20100000,74.23,1.0,0.2501338359502327
20200000,75.17,1.0,0.26963049132849304
20300000,102.18,0.98,0.2419273597823953
20400000,83.44,1.0,0.2960670712100525
20500000,79.81,1.0,0.261480922681685
20600000,72.94,1.0,0.2870361500468546
20700000,76.57,1.0,0.26274746921969483
20800000,82.19,1.0,0.2536285792825219
20900000,90.26,1.0,0.22038626805456485
2100000,188.77,1.0,0.15151505328732184
21000000,90.63,0.99,0.25373137680424607
21100000,96.39,1.0,0.23485394881648566
21200000,82.08,1.0,0.27336867221128436
21300000,85.28,1.0,0.27460747705697963
21400000,86.51,1.0,0.2561317645022701
21500000,85.14,1.0,0.24747744834469698
21600000,73.83,1.0,0.29255490878991713
21700000,77.61,1.0,0.28719510206646004
21800000,98.92,0.99,0.24999629505050183
21900000,71.88,1.0,0.2818052571535916
2200000,183.28,0.99,0.1503299297196894
22000000,83.25,1.0,0.27092657010855076
22100000,94.33,1.0,0.2430648732119889
22200000,94.53,0.99,0.2312276711180956
22300000,86.19,1.0,0.24078000432801808
22400000,74.51,1.0,0.2735595587937192
22500000,74.71,1.0,0.2874983089254919
22600000,90.08,0.99,0.25180298937597256
22700000,71.43,1.0,0.2835006702601975
22800000,76.14,1.0,0.2698075784584219
22900000,79.58,1.0,0.28411221679403725
2300000,155.32,1.0,0.17010062685030009
23000000,92.11,0.99,0.2698695222866462
23100000,90.57,0.99,0.23962730136862687
23200000,75.44,1.0,0.2826522410993643
23300000,82.62,1.0,0.24001391072650294
23400000,78.24,1.0,0.259739762039924
23500000,86.83,1.0,0.25737595384001816
23600000,81.87,1.0,0.24252663675829705
23700000,97.28,0.99,0.26020604921904505
23800000,80.68,1.0,0.27409054586934584
23900000,86.63,1.0,0.2555773377297758
2400000,173.03,0.99,0.16710202649049105
24000000,87.64,1.0,0.267940262606812
24100000,88.29,0.99,0.2548310188270342
24200000,68.01,1.0,0.317810116174684
24300000,80.46,1.0,0.2555689012328419
24400000,96.88,1.0,0.2682663087500235
24500000,82.9,1.0,0.2551198866311685
24600000,79.42,1.0,0.26562436338139617
24700000,85.51,1.0,0.2735658923194192
24800000,91.47,1.0,0.2445879595110598
24900000,86.58,0.99,0.25674869834271935
2500000,181.68,0.99,0.1553513651011312
2600000,160.89,0.99,0.18160644498110062
2700000,135.57,1.0,0.2004916072758309
2800000,166.04,0.98,0.19394533279724424
2900000,148.61,0.99,0.20366278369634078
300000,500.9,0.74,0.05102087143873211
3000000,123.11,1.0,0.21776081139947207
3100000,157.31,0.99,0.19082072885288542
3200000,142.0,1.0,0.1875804322026584
3300000,119.36,1.0,0.20868064443078504
3400000,125.27,1.0,0.19342159237518644
3500000,135.04,1.0,0.19698430956837004
3600000,124.23,1.0,0.20129384508744827
3700000,127.7,1.0,0.19151737257869095
3800000,129.59,1.0,0.2117747014300886
3900000,117.8,0.99,0.2180228268421342
400000,485.01,0.82,0.052991953829303017
4000000,114.62,1.0,0.20601947546092153
4100000,115.3,1.0,0.22682277728603076
4200000,113.19,1.0,0.23689971363839749
4300000,135.65,1.0,0.21746447490375653
4400000,113.49,1.0,0.21442780162638084
4500000,109.39,1.0,0.20825005099218066
4600000,132.95,0.99,0.21607331501266303
4700000,124.72,1.0,0.2081887310620336
4800000,129.6,0.99,0.20339912350827863
4900000,111.08,1.0,0.22525117830074884
500000,440.44,0.83,0.056062209971955435
5000000,108.72,1.0,0.22147321000558406
5100000,101.59,1.0,0.2515397624623601
5200000,133.37,0.99,0.24059519711793936
5300000,102.92,0.99,0.21634912350166727
5400000,124.12,0.99,0.23229154109491476
5500000,117.1,0.99,0.24387789200034826
5600000,108.83,0.99,0.22347121172805884
5700000,106.8,1.0,0.22348210739293772
5800000,110.81,0.99,0.25429962796490163
5900000,137.71,0.99,0.1986208140228768
600000,408.62,0.89,0.06459866001944509
6000000,106.56,1.0,0.22149330873136644
6100000,120.1,1.0,0.23332370261820617
6200000,110.76,1.0,0.224230896431214
6300000,103.43,1.0,0.25293275142266386
6400000,105.92,1.0,0.23873745400322868
6500000,116.62,1.0,0.21683330595801675
6600000,107.17,1.0,0.23699176055675264
6700000,115.33,0.99,0.21984587020311036
6800000,123.18,0.98,0.24237495711768064
6900000,100.5,1.0,0.27702867923382746
700000,348.28,0.87,0.08853395074343229
7000000,107.88,1.0,0.23498083070316197
7100000,105.4,1.0,0.23225818872922135
7200000,89.34,1.0,0.28912728427456064
7300000,105.62,1.0,0.24335417290456726
7400000,138.62,0.99,0.2147986355749273
7500000,107.23,0.99,0.2250797405528735
7600000,149.74,0.98,0.22486045525468484
7700000,117.61,1.0,0.22577047979446438
7800000,108.22,1.0,0.21713944212678332
7900000,98.57,1.0,0.2411901164842595
800000,276.29,0.96,0.1011844765266423
8000000,95.43,1.0,0.2901801867311599
8100000,98.43,0.99,0.2517316030102247
8200000,110.5,0.99,0.22359509080546214
8300000,96.52,1.0,0.2500712126162646
8400000,99.37,1.0,0.2429039734170001
8500000,104.35,1.0,0.24621274125286377
8600000,103.45,0.99,0.274675281449514
8700000,101.1,1.0,0.23605693305811276
8800000,103.23,0.99,0.25626434328862874
8900000,88.2,1.0,0.24863314406354384
900000,311.97,0.94,0.09725153108064982
9000000,108.89,1.0,0.1967946656429464
9100000,102.84,1.0,0.23949053395076464
9200000,93.58,1.0,0.2608339961214042
9300000,88.28,1.0,0.26284612353547376
9400000,103.27,0.99,0.23733145954528365
9500000,110.85,1.0,0.19750941982467357
9600000,100.24,1.0,0.24716226314309367
9700000,114.06,0.99,0.2130956560203123
9800000,104.62,0.99,0.23648429429293852
9900000,100.49,0.99,0.25160718855754205
