id,length,success,spl
4700000,181.07,1.0,0.15335635891609656
4800000,202.24,1.0,0.14237149019141873
4900000,178.15,0.99,0.1552931519949104
500000,603.32,0.73,0.03952347550967655
5000000,225.72,0.96,0.16194064152465037
5100000,216.98,0.98,0.13378877799139996
5200000,183.35,0.99,0.15306551354217485
5300000,176.65,0.99,0.1706432090341841
5400000,169.58,0.99,0.14178335186381597
5500000,182.92,0.98,0.16353423616422624
5600000,207.84,0.98,0.12720718964216282
5700000,160.29,0.99,0.1930819916886464
5800000,158.8,0.99,0.2042178382186535
5900000,166.81,0.98,0.16764648913439448
600000,687.93,0.54,0.035991238244414726
6000000,155.5,0.99,0.1814139573365891
6100000,198.08,0.99,0.18926552123270035
6200000,188.37,0.98,0.1534168936603301
6300000,205.34,1.0,0.13720007508250492
6400000,188.78,0.97,0.1889586216077018
6500000,176.78,0.99,0.19419220011937047
6600000,155.04,0.99,0.1847959464542799
6700000,175.62,1.0,0.17632727259709205
6800000,180.35,0.98,0.1648079963851788
6900000,170.69,0.99,0.2064377485165008
700000,797.9,0.35,0.03076886872371505
7000000,160.61,0.99,0.2107457217749227
7100000,174.78,0.99,0.18285129061179767
7200000,154.93,0.98,0.20144804032594707
7300000,178.04,0.99,0.17002197014731066
7400000,145.18,0.99,0.19544346975825427
7500000,141.38,0.98,0.19323245647968684
7600000,155.25,0.99,0.17872249931508982
7700000,164.97,0.98,0.20041248888090052
7800000,171.61,0.97,0.1839151232131992
7900000,155.61,0.99,0.20353209144203113
800000,627.86,0.66,0.04195381388939706
8000000,144.87,0.98,0.21563654675476804
8100000,136.89,1.0,0.20242924067325377
8200000,189.69,0.98,0.1909756219125142
8300000,159.72,0.99,0.19440463643410028
8400000,150.91,0.98,0.18985201358839127
8500000,146.15,1.0,0.1775335555653487
8600000,141.91,0.98,0.21616782590776132
8700000,185.96,0.96,0.18288284312309705
8800000,129.06,1.0,0.21870980496151762
8900000,177.63,0.97,0.17893755631038435
900000,616.03,0.68,0.034461838313073236
9000000,153.5,1.0,0.20307581911858452
9100000,176.79,0.97,0.19268048460431428
9200000,154.12,0.99,0.20323664265911762
9300000,143.79,0.98,0.18077882166938994
9400000,176.93,0.97,0.19360984895092262
9500000,185.19,0.95,0.19779475980022454
9600000,176.96,0.98,0.18571389207827343
9700000,190.27,0.98,0.21232046517356487
9800000,138.31,1.0,0.23368456967220297
9900000,144.46,0.97,0.21035959940741372
