step,return,length,success
16384,1.6100011,206.0,1.0
32768,-0.054166257,414.6666666666667,1.0
49152,-0.957276,526.9090909090909,1.0
65536,-4.7747483,881.6666666666666,0.36363636363636365
81920,-4.4885,852.0140845070423,0.39436619718309857
98304,-4.403732,846.1184210526316,0.42105263157894735
114688,-4.104032,817.531914893617,0.48936170212765956
131072,-4.700351,854.11,0.34
147456,-4.1004453,792.65,0.43
163840,-3.478737,739.22,0.55
180224,-3.7753406,769.3,0.51
196608,-3.4676368,741.57,0.54
212992,-2.651076,674.87,0.7
229376,-2.99943,711.5,0.65
245760,-2.8053274,692.46,0.66
262144,-2.675576,675.38,0.66
278528,-2.5177257,656.34,0.66
294912,-2.3054764,630.07,0.66
311296,-1.5922197,560.54,0.76
327680,-1.2537173,521.56,0.76
344064,-0.9049119,491.15,0.82
360448,-1.1301641,516.12,0.8
376832,-1.1179639,517.13,0.82
393216,-1.1261159,507.22,0.79
409600,-0.9152647,478.37,0.77
425984,-1.0963163,494.95,0.74
442368,-1.1971157,510.83,0.75
458752,-0.90326303,485.69,0.8
475136,-0.9016103,493.6,0.84
491520,-0.38145715,438.15,0.9
507904,-0.09580605,406.76,0.92
524288,-0.21365699,426.23,0.94
540672,-0.6713101,476.6,0.88
557056,-1.3571634,554.43,0.81
573440,-1.267613,547.73,0.81
589824,-0.86981064,506.8,0.87
606208,-0.23780626,437.36,0.92
622592,-0.0699049,419.66,0.92
638976,-0.031105177,412.66,0.91
655360,0.061444893,400.9,0.91
671744,0.11129423,392.07,0.89
688128,0.08554426,394.96,0.9
704512,0.14729303,381.1,0.89
720896,0.39794403,355.22,0.92
737280,0.2883944,372.53,0.9
753664,0.326696,375.15,0.94
770048,0.6123485,344.97,0.98
786432,0.70939845,329.84,0.96
802816,0.54909754,348.28,0.95
819200,0.6733477,330.9,0.94
835584,0.67469674,330.24,0.94
851968,0.63659716,337.9,0.94
868352,0.73189765,325.8,0.93
884736,0.55539674,346.99,0.93
901120,0.55044675,348.66,0.94
917504,0.36459443,363.0,0.89
933888,0.2645948,380.23,0.9
950272,0.44554597,363.44,0.94
966656,0.6421468,340.88,0.96
983040,1.1439997,279.02,0.98
999424,1.1105996,282.91,0.97
1015808,1.0614985,284.15,0.94
1032192,1.0229987,289.97,0.95
1048576,0.87849885,310.76,0.96
1064960,1.0264486,290.7,0.96
1081344,0.91479737,304.84,0.95
1097728,0.9714988,303.93,0.97
1114112,1.0850987,286.55,0.97
1130496,0.9671983,302.53,0.96
1146880,1.1254992,283.54,0.97
1163264,1.1820993,276.58,0.97
1179648,1.0001484,299.5,0.98
1196032,1.2636491,264.95,0.97
1212416,1.2532489,263.61,0.96
1228800,1.4247005,245.82,1.0
1245184,1.2572998,267.33,0.99
1261568,1.2209985,268.15,0.96
1277952,1.2358989,268.15,0.98
1294336,1.3485004,259.03,1.0
1310720,1.4801005,243.32,1.0
1327104,1.5907502,225.87,0.99
1343488,1.5082501,235.69,0.98
1359872,1.5605998,228.77,0.97
1376256,1.5816499,229.55,0.99
1392640,1.8498,189.91,0.99
1409024,1.5762995,227.42,0.99
1425408,1.7275,208.5,0.99
1441792,1.8372504,192.78,0.99
1458176,1.4354504,249.16,0.99
1474560,1.5333492,233.74,0.98
1490944,1.6688992,215.83,0.98
1507328,1.7773,199.99,0.99
1523712,1.5308995,235.29,0.99
1540096,1.6503499,218.13,0.98
1556480,1.6572502,217.66,0.99
1572864,1.7155501,210.07,0.98
1589248,1.7557993,202.75,0.97
1605632,1.9267,182.74,0.99
1622016,1.6985501,214.31,0.99
1638400,1.8112998,197.58,0.99
1654784,1.7503002,207.26,0.99
1671168,1.7514992,203.58,0.97
1687552,1.7723494,202.27,0.98
1703936,1.9430504,181.88,1.0
1720320,2.01775,171.73,1.0
1736704,2.0032,173.2,0.99
1753088,1.6938988,209.04,0.96
1769472,2.0328507,172.13,1.0
1785856,2.1345506,157.83,1.0
1802240,1.79345,203.97,0.99
1818624,2.05515,164.86,0.99
1835008,2.0538504,165.78,0.99
1851392,2.0103004,171.63,0.99
1867776,1.98805,173.83,0.99
1884160,1.9159501,184.68,0.99
1900544,2.2772508,132.79,1.0
1916928,1.9762005,178.9,1.0
1933312,2.1077502,158.99,1.0
1949696,1.8746006,192.79,1.0
1966080,2.1301506,155.84,1.0
1982464,2.0837502,162.51,1.0
1998848,1.9726503,178.62,1.0
2015232,1.7318991,209.62,0.98
2031616,2.0338502,170.06,0.99
2048000,1.9459991,180.71,0.98
2064384,2.0900009,163.5,1.0
2080768,1.8913504,190.72,0.99
2097152,2.1453505,155.37,1.0
2113536,2.0451498,167.5,0.98
2129920,1.9402493,177.34,0.97
2146304,2.0555506,168.46,1.0
2162688,2.0880003,160.88,1.0
2179072,1.9221493,181.24,0.97
2195456,1.9474493,178.22,0.97
2211840,1.925249,181.18,0.96
2228224,1.8190987,194.9,0.96
2244608,2.1422503,156.97,1.0
2260992,2.0997503,160.86,0.99
2277376,2.1680498,152.69,0.99
2293760,2.1098998,157.06,0.98
2310144,2.0416,168.95,0.99
2326528,2.0578501,168.02,0.99
2342912,2.2852504,136.92,1.0
2359296,2.0727503,167.54,1.0
2375680,1.7492496,209.4,0.98
2392064,1.9901999,175.18,0.98
2408448,1.9891504,177.98,0.99
2424832,2.0761003,165.61,1.0
2441216,1.9509997,180.76,0.98
2457600,2.0197494,169.59,0.97
2473984,2.2202003,146.56,1.0
2490368,1.9769998,176.23,0.98
2506752,2.21575,143.63,0.99
2523136,2.264,137.89,0.99
2539520,2.2996504,134.43,1.0
2555904,2.0059497,175.32,0.98
2572288,1.9164995,185.67,0.98
2588672,2.0734496,162.78,0.98
2605056,2.1423502,156.7,1.0
2621440,2.0130496,172.72,0.98
2637824,2.1854,150.33,0.99
2654208,2.4190998,116.41,0.99
2670592,2.2710998,133.9,0.99
2686976,2.1910505,150.85,1.0
2703360,2.3536499,124.7,0.99
2719744,2.0585995,166.27,0.98
2736128,2.2612,139.15,0.99
2752512,2.2342002,142.92,0.99
2768896,2.3617501,124.61,0.99
2785280,2.0516493,165.68,0.98
2801664,2.0174003,175.23,0.99
2818048,2.2073998,146.11,0.99
2834432,2.1360502,156.55,0.99
2850816,2.3439002,129.4,1.0
2867200,2.3723502,125.38,1.0
2883584,2.1476,154.29,0.99
2899968,2.1953006,149.51,1.0
2916352,2.2205503,148.16,1.0
2932736,2.1433005,158.39,1.0
2949120,2.31985,130.2,0.99
2965504,2.1654003,153.09,1.0
2981888,2.2377996,140.34,0.98
2998272,2.1458502,157.37,0.99
3014656,2.3701506,124.48,1.0
3031040,2.3293004,132.49,1.0
3047424,2.3250506,133.32,1.0
3063808,2.2071502,147.54,0.99
3080192,2.2153502,145.79,0.99
3096576,2.31205,131.16,0.99
3112960,2.2970002,135.96,1.0
3129344,2.13145,158.96,0.99
3145728,2.2060997,147.61,0.99
3162112,2.32035,132.3,1.0
3178496,2.142749,150.37,0.97
3194880,2.339,126.9,0.99
3211264,2.0746005,165.81,1.0
3227648,2.29135,134.98,0.99
3244032,2.4331005,116.8,1.0
3260416,2.4122,116.42,1.0
3276800,2.1736503,151.56,1.0
3293184,2.23945,143.38,0.99
3309568,2.4289002,117.45,1.0
3325952,2.2600498,139.13,0.99
3342336,2.3571005,128.2,1.0
3358720,2.2869503,137.92,1.0
3375104,2.3059497,132.43,1.0
3391488,1.9777495,178.38,0.99
3407872,2.4914002,107.21,1.0
3424256,2.4497504,113.46,1.0
3440640,2.1508496,154.56,0.98
3457024,2.0646994,167.75,0.97
3473408,2.2244003,146.55,0.99
3489792,2.018949,171.0,0.96
3506176,2.2538998,141.56,0.99
3522560,2.2519999,142.88,0.99
3538944,2.2344499,143.51,0.99
3555328,2.0616992,164.72,0.97
3571712,2.412,118.36,0.99
3588096,2.4155004,120.71,1.0
3604480,2.4556003,113.98,1.0
3620864,2.3540502,127.02,0.99
3637248,2.3155503,130.09,0.99
3653632,2.4098504,118.13,1.0
3670016,2.2457497,142.33,0.99
3686400,2.2243502,146.4,0.99
3702784,2.28395,137.03,0.99
3719168,2.2632504,142.06,1.0
3735552,2.2807,136.23,0.99
3751936,2.25955,139.92,0.99
3768320,2.2084,145.43,0.99
3784704,2.2583501,140.35,0.99
3801088,2.2561498,139.7,0.98
3817472,2.4743502,110.3,1.0
3833856,2.4037998,119.37,0.99
3850240,2.2782502,135.05,0.99
3866624,2.2902,136.31,0.99
3883008,2.3510003,127.15,1.0
3899392,2.3598504,126.88,1.0
3915776,2.1988497,147.65,0.99
3932160,2.2612,140.72,0.99
3948544,2.3828502,124.1,1.0
3964928,2.40235,117.69,0.99
3981312,2.3026001,133.82,0.99
3997696,2.3595002,128.32,1.0
4014080,2.2668,138.56,0.99
4030464,2.4379504,114.88,1.0
4046848,2.2896504,139.13,1.0
4063232,2.3316498,126.71,0.98
4079616,2.3760002,122.68,1.0
4096000,2.3321505,129.67,1.0
4112384,2.4998002,104.6,1.0
4128768,2.29215,131.97,0.99
4145152,2.1857498,148.65,0.98
4161536,2.1062996,158.13,0.98
4177920,2.2207503,144.82,0.99
4194304,2.4276,113.85,0.99
4210688,2.3201995,129.61,0.98
4227072,2.3067503,134.1,1.0
4243456,2.4468002,114.47,1.0
4259840,2.3660002,127.71,1.0
4276224,2.3147497,130.47,0.99
4292608,2.4262004,118.24,1.0
4308992,2.5137005,105.12,1.0
4325376,2.3447,127.26,0.99
4341760,2.4291005,118.02,1.0
4358144,2.35845,125.28,0.99
4374528,2.3910503,124.27,1.0
4390912,2.3011503,137.76,1.0
4407296,2.3548002,126.96,0.99
4423680,2.41275,119.95,0.99
4440064,2.4392998,115.64,0.99
4456448,2.2227507,148.63,1.0
4472832,2.2882497,134.67,0.98
4489216,2.2942502,134.77,1.0
4505600,2.3108492,125.87,0.97
4521984,2.4507,111.07,0.99
4538368,2.53775,99.01,1.0
4554752,2.46065,107.96,0.99
4571136,2.4230003,119.06,1.0
4587520,2.4747005,110.97,1.0
4603904,2.4342997,115.05,0.99
4620288,2.28915,134.69,0.99
4636672,2.4149997,115.37,0.98
4653056,2.2373497,141.43,0.98
4669440,2.3509002,127.15,0.99
4685824,2.3326502,129.26,0.99
4702208,2.5110004,107.27,1.0
4718592,2.3321497,130.28,0.99
4734976,2.34885,128.3,1.0
4751360,2.50375,104.03,1.0
4767744,2.3781998,122.75,0.99
4784128,2.5898502,93.64,1.0
4800512,2.5691998,98.16,1.0
4816896,2.5381002,100.03,1.0
4833280,2.6361506,86.07,1.0
4849664,2.33265,129.19,0.99
4866048,2.4861498,107.06,0.99
4882432,2.5730002,93.59,1.0
4898816,2.5469003,100.92,1.0
4915200,2.40675,117.38,0.99
4931584,2.3407497,126.17,0.99
4947968,2.3810003,122.77,1.0
4964352,2.200249,144.72,0.97
4980736,2.4246998,114.07,0.99
4997120,2.3156996,130.23,0.98
5013504,2.4089503,121.12,1.0
5029888,2.5340002,102.94,1.0
5046272,2.5058498,101.43,0.99
5062656,2.4745002,110.39,1.0
5079040,2.3598998,124.95,0.99
5095424,2.4705498,107.88,0.99
5111808,2.5329,102.1,1.0
5128192,2.3968492,112.37,0.97
5144576,2.4783502,110.3,0.99
5160960,2.5082505,107.22,1.0
5177344,2.3563995,124.11,0.98
5193728,2.44085,113.06,0.99
5210112,2.36835,124.87,0.99
5226496,2.4624,111.33,0.99
5242880,2.5198002,102.5,1.0
5259264,2.6635501,81.65,1.0
5275648,2.4296505,117.82,1.0
5292032,2.3709497,121.08,0.99
5308416,2.4911,107.64,1.0
5324800,2.43415,114.68,0.99
5341184,2.3971505,122.3,1.0
5357568,2.4981005,107.89,1.0
5373952,2.4278502,116.87,1.0
5390336,2.5062003,105.6,1.0
5406720,2.54815,99.03,1.0
5423104,2.58585,94.67,1.0
5439488,2.50445,106.47,1.0
5455872,2.3837998,121.57,0.99
5472256,2.53885,100.98,1.0
5488640,2.4362497,113.98,1.0
5505024,2.4911003,105.96,1.0
5521408,2.3913002,122.4,1.0
5537792,2.4040003,119.49,0.99
5554176,2.5794504,92.74,1.0
5570560,2.4591503,113.71,1.0
5586944,2.36855,122.55,0.99
5603328,2.6312504,85.77,1.0
5619712,2.5668502,95.1,1.0
5636096,2.319,132.26,0.99
5652480,2.5418503,100.56,1.0
5668864,2.6171503,89.36,1.0
5685248,2.5628,93.85,0.99
5701632,2.5849504,94.9,1.0
5718016,2.50795,103.45,0.99
5734400,2.5284503,102.2,1.0
5750784,2.5465503,98.64,1.0
5767168,2.55195,98.82,1.0
5783552,2.4733496,107.38,0.98
5799936,2.4555502,117.18,1.0
5816320,2.5433497,98.16,0.99
5832704,2.4282503,119.34,1.0
5849088,2.5303504,103.59,1.0
5865472,2.5779004,94.79,1.0
5881856,2.4384,116.35,1.0
5898240,2.5161,102.07,0.99
5914624,2.5987,90.82,0.99
5931008,2.5922003,93.86,1.0
5947392,2.31105,132.57,0.99
5963776,2.53765,100.92,1.0
5980160,2.4557998,111.65,0.99
5996544,2.5104504,106.19,1.0
6012928,2.4346,116.45,1.0
6029312,2.5834002,95.56,1.0
6045696,2.52835,102.88,1.0
6062080,2.5181506,104.84,1.0
6078464,2.61575,92.24,1.0
6094848,2.4879498,108.51,0.99
6111232,2.5525997,96.07,0.99
6127616,2.6016004,91.69,1.0
6144000,2.5710504,96.11,1.0
6160384,2.4927995,103.22,0.98
6176768,2.58005,96.33,1.0
6193152,2.3411493,125.56,0.98
6209536,2.4252005,119.49,1.0
6225920,2.4629998,112.42,0.99
6242304,2.5415003,101.94,1.0
6258688,2.5688004,97.53,1.0
6275072,2.5024502,109.2,1.0
6291456,2.5230002,103.93,1.0
6307840,2.5361004,104.79,1.0
6324224,2.59325,95.76,1.0
6340608,2.4900496,106.19,0.99
6356992,2.539,101.74,1.0
6373376,2.5805502,94.46,1.0
6389760,2.5504003,99.14,1.0
6406144,2.6281,88.46,1.0
6422528,2.5525002,98.9,1.0
6438912,2.6360006,86.45,1.0
6455296,2.4669998,111.35,0.99
6471680,2.3946493,117.6,0.98
6488064,2.3943498,120.18,1.0
6504448,2.5438,102.2,1.0
6520832,2.5713503,97.83,1.0
6537216,2.5533001,99.11,1.0
6553600,2.6008003,93.33,1.0
6569984,2.6167002,89.63,1.0
6586368,2.4602501,113.61,1.0
6602752,2.48565,109.0,0.99
6619136,2.5553503,101.42,1.0
6635520,2.5961,94.22,1.0
6651904,2.5813994,91.36,0.99
6668288,2.5492501,100.81,1.0
6684672,2.5519502,100.66,1.0
6701056,2.5159495,101.6,0.99
6717440,2.5790503,97.78,1.0
6733824,2.5930502,91.93,1.0
6750208,2.5059998,103.86,0.99
6766592,2.4812999,108.43,0.99
6782976,2.6094003,92.69,1.0
6799360,2.6047504,92.65,1.0
6815744,2.5403004,102.37,1.0
6832128,2.6220503,88.68,1.0
6848512,2.5164504,106.26,1.0
6864896,2.6253004,91.2,1.0
6881280,2.6477501,85.87,1.0
6897664,2.3762498,121.28,0.98
6914048,2.4109497,120.45,0.99
6930432,2.5176501,104.59,1.0
6946816,2.63975,88.32,1.0
6963200,2.4906,111.25,1.0
6979584,2.5440505,101.72,1.0
6995968,2.6859002,78.63,1.0
7012352,2.6332004,90.34,1.0
7028736,2.5346003,104.06,1.0
7045120,2.4815502,112.32,1.0
7061504,2.3151996,130.57,0.98
7077888,2.39515,124.68,1.0
7094272,2.5451503,103.35,1.0
7110656,2.5507002,103.07,1.0
7127040,2.5653002,99.26,1.0
7143424,2.61935,94.08,1.0
7159808,2.5908499,94.72,1.0
7176192,2.5949502,95.34,1.0
7192576,2.5329003,103.2,1.0
7208960,2.35565,128.78,0.99
7225344,2.4711998,111.97,0.99
7241728,2.4538496,113.17,0.98
7258112,2.48335,108.93,0.99
7274496,2.5066495,102.94,0.98
7290880,2.5070999,105.67,1.0
7307264,2.4824998,110.06,0.99
7323648,2.5745,99.78,1.0
7340032,2.5983002,94.96,1.0
7356416,2.5846004,99.58,1.0
7372800,2.4931998,109.23,0.99
7389184,2.5334501,101.71,0.99
7405568,2.6577506,83.91,1.0
7421952,2.6296003,88.87,1.0
7438336,2.45345,115.74,1.0
7454720,2.5891502,97.38,1.0
7471104,2.5153997,104.6,0.99
7487488,2.4723501,112.73,0.99
7503872,2.5899,95.77,1.0
7520256,2.5951505,95.56,1.0
7536640,2.6144505,92.21,1.0
7553024,2.4876997,111.28,1.0
7569408,2.5890002,96.94,1.0
7585792,2.5201998,104.57,0.99
7602176,2.6451504,88.44,1.0
7618560,2.4774494,109.59,0.99
7634944,2.4772494,105.19,0.98
7651328,2.5891001,97.82,1.0
7667712,2.5249,104.77,0.99
7684096,2.5044503,108.91,1.0
7700480,2.5845501,97.69,1.0
7716864,2.52695,103.67,0.99
7733248,2.49685,108.75,0.99
7749632,2.4082494,120.36,0.98
7766016,2.6017,97.06,1.0
7782400,2.6361501,92.03,1.0
7798784,2.5751998,99.48,1.0
7815168,2.5309005,105.91,1.0
7831552,2.6307502,92.49,1.0
7847936,2.4248,120.3,0.99
7864320,2.5889,97.08,1.0
7880704,2.6249506,92.44,1.0
7897088,2.59895,95.42,1.0
7913472,2.5983,93.69,0.99
7929856,2.5136497,102.96,0.99
7946240,2.5742,98.01,1.0
7962624,2.5278997,103.72,0.99
7979008,2.6168003,93.63,1.0
7995392,2.5403504,105.65,1.0
8011776,2.4578497,112.81,0.99
8028160,2.3970494,119.6,0.99
8044544,2.3632996,124.19,0.98
8060928,2.5630503,100.11,1.0
8077312,2.5271502,106.23,1.0
8093696,2.5700004,99.75,1.0
8110080,2.5099504,106.84,1.0
8126464,2.5356503,104.82,1.0
8142848,2.6496499,86.93,1.0
8159232,2.4916499,108.98,0.99
8175616,2.6176002,92.32,1.0
8192000,2.6135504,93.27,1.0
8208384,2.6366503,89.65,1.0
8224768,2.4926996,106.57,0.99
8241152,2.4324996,115.87,0.98
8257536,2.5026498,107.88,0.99
8273920,2.6231003,90.36,1.0
8290304,2.4144995,117.64,0.98
8306688,2.59905,97.64,1.0
8323072,2.4248495,116.75,0.98
8339456,2.3989494,120.69,0.98
8355840,2.6378498,90.72,1.0
8372224,2.64345,88.74,1.0
8388608,2.5712497,98.15,0.99
8404992,2.6659,86.26,1.0
8421376,2.5755503,97.25,1.0
8437760,2.5637002,100.57,1.0
8454144,2.5266497,104.26,1.0
8470528,2.5733995,94.62,0.99
8486912,2.6444502,88.7,1.0
8503296,2.5579996,99.64,0.99
8519680,2.5473003,102.27,1.0
8536064,2.317949,131.45,0.97
8552448,2.5484502,103.06,1.0
8568832,2.6446502,88.76,1.0
8585216,2.5122504,108.79,1.0
8601600,2.5414495,98.4,0.98
8617984,2.6002002,96.3,1.0
8634368,2.5450997,98.63,0.99
8650752,2.6434503,89.03,1.0
8667136,2.5383003,105.71,1.0
8683520,2.5026999,108.41,0.99
8699904,2.4962995,108.46,0.99
8716288,2.4654493,108.06,0.98
8732672,2.5499496,97.99,0.99
8749056,2.52315,104.28,0.99
8765440,2.4227495,118.39,0.98
8781824,2.7172503,76.69,1.0
8798208,2.5924003,96.13,1.0
8814592,2.5956004,96.2,1.0
8830976,2.5881994,93.1,0.99
8847360,2.69425,79.84,1.0
8863744,2.67715,83.07,1.0
8880128,2.5542998,100.04,0.99
8896512,2.6311502,88.52,1.0
8912896,2.6662502,85.3,1.0
8929280,2.5858502,95.22,1.0
8945664,2.5448997,102.86,0.99
8962048,2.6096504,93.32,1.0
8978432,2.3783991,122.78,0.97
8994816,2.5426002,103.2,1.0
9011200,2.5533996,98.69,0.99
9027584,2.6192002,92.45,1.0
9043968,2.6781998,82.14,1.0
9060352,2.6032004,95.56,1.0
9076736,2.57535,96.39,0.99
9093120,2.63575,90.52,1.0
9109504,2.5775504,98.24,1.0
9125888,2.5349495,100.33,0.98
9142272,2.7114506,77.78,1.0
9158656,2.5806503,100.17,1.0
9175040,2.6721003,83.47,1.0
9191424,2.7024002,79.05,1.0
9207808,2.6548502,86.61,1.0
9224192,2.5321996,104.31,0.99
9240576,2.5236497,103.69,0.99
9256960,2.4514992,112.3,0.98
9273344,2.4961493,104.82,0.99
9289728,2.5987003,94.57,1.0
9306112,2.6364505,88.7,1.0
9322496,2.4659493,111.61,0.98
9338880,2.6510003,87.97,1.0
9355264,2.5304,102.31,0.99
9371648,2.5276,104.95,0.99
9388032,2.5979002,95.99,1.0
9404416,2.5952501,96.33,1.0
9420800,2.6083503,91.98,1.0
9437184,2.5484004,103.74,1.0
9453568,2.51615,104.83,0.99
9469952,2.6504502,87.63,1.0
9486336,2.4457996,111.56,0.98
9502720,2.5897,93.33,0.99
9519104,2.6165507,90.73,1.0
9535488,2.6331503,90.89,1.0
9551872,2.5308006,106.64,1.0
9568256,2.6612496,84.14,1.0
9584640,2.6139498,91.74,1.0
9601024,2.6075003,93.17,1.0
9617408,2.6379504,89.69,1.0
9633792,2.6340003,90.6,1.0
9650176,2.6144,89.58,0.99
9666560,2.5992496,92.24,0.99
9682944,2.6094995,91.62,0.99
9699328,2.5994503,94.15,1.0
9715712,2.5385,101.91,0.99
9732096,2.5638998,97.53,0.99
9748480,2.6283,88.58,1.0
9764864,2.68425,81.86,1.0
9781248,2.5749,95.26,0.99
9797632,2.5692,98.63,1.0
9814016,2.6375496,88.45,1.0
9830400,2.6087003,92.92,1.0
9846784,2.5669498,100.22,1.0
9863168,2.6880999,79.72,1.0
9879552,2.6090002,95.84,1.0
9895936,2.6871002,81.15,1.0
9912320,2.7116504,77.56,1.0
9928704,2.6392503,89.23,1.0
9945088,2.6597998,86.14,1.0
9961472,2.5775,95.59,0.99
9977856,2.6377,89.76,1.0
9994240,2.6432998,88.76,1.0
10010624,2.5609498,97.8,0.99
10027008,2.5883498,94.17,0.99
10043392,2.5579996,97.87,0.99
10059776,2.5406997,102.33,0.99
10076160,2.5519,99.46,0.99
10092544,2.6096003,91.15,1.0
10108928,2.55205,98.65,0.99
10125312,2.4556994,109.39,0.98
10141696,2.6865504,80.27,1.0
10158080,2.6425004,85.24,1.0
10174464,2.6423502,88.1,1.0
10190848,2.5579996,98.14,0.99
10207232,2.5932996,92.42,0.99
10223616,2.3131492,126.63,0.97
10240000,2.5335495,101.49,0.99
10256384,2.5073495,101.12,0.98
10272768,2.6536505,85.31,1.0
10289152,2.6675,83.63,1.0
10305536,2.5995998,90.47,0.99
10321920,2.6901505,79.76,1.0
10338304,2.6416001,88.91,1.0
10354688,2.6070504,92.41,1.0
10371072,2.6422002,86.47,1.0
10387456,2.6321,88.83,1.0
10403840,2.6374002,89.32,1.0
10420224,2.5526,98.2,0.99
10436608,2.6247501,91.28,1.0
10452992,2.7027502,79.24,1.0
10469376,2.6148498,89.38,0.99
10485760,2.4894996,107.67,0.98
10502144,2.701,80.1,1.0
10518528,2.5644999,98.88,0.99
10534912,2.7060502,78.24,1.0
10551296,2.6964998,80.88,1.0
10567680,2.7197,74.95,1.0
10584064,2.6681504,84.51,1.0
10600448,2.5806003,97.71,1.0
10616832,2.6863499,81.42,1.0
10633216,2.5239499,106.91,0.99
10649600,2.5197997,103.34,0.99
10665984,2.5879998,93.78,0.99
10682368,2.5921502,97.54,1.0
10698752,2.5972004,95.53,1.0
10715136,2.5829,96.96,1.0
10731520,2.6146498,93.42,1.0
10747904,2.69695,81.12,1.0
10764288,2.6399,91.04,1.0
10780672,2.70225,77.37,1.0
10797056,2.63825,89.22,1.0
10813440,2.6314504,91.29,1.0
10829824,2.67995,84.1,1.0
10846208,2.7015002,77.13,1.0
10862592,2.6674,84.94,1.0
10878976,2.6824,82.32,1.0
10895360,2.726,74.38,1.0
10911744,2.5656497,97.93,0.99
10928128,2.6736503,81.86,1.0
10944512,2.7036502,80.54,1.0
10960896,2.55395,96.96,0.99
10977280,2.70035,80.29,1.0
10993664,2.4957497,105.12,0.98
11010048,2.6316004,90.66,1.0
11026432,2.67635,86.82,1.0
11042816,2.5073497,107.29,0.99
11059200,2.6027498,92.7,0.99
11075584,2.6214502,94.08,1.0
11091968,2.66895,85.54,1.0
11108352,2.5171995,102.0,0.98
11124736,2.6105506,93.45,1.0
11141120,2.6523004,86.89,1.0
11157504,2.54185,102.23,0.99
11173888,2.6925,81.4,1.0
11190272,2.4509993,112.29,0.98
11206656,2.6537504,85.3,1.0
11223040,2.6872501,79.82,1.0
11239424,2.6146,90.21,0.99
11255808,2.59085,97.39,1.0
11272192,2.6332495,85.48,0.99
11288576,2.5819497,94.67,0.99
11304960,2.6988497,80.42,1.0
11321344,2.6846006,82.69,1.0
11337728,2.6271,87.64,0.99
11354112,2.6220503,93.3,1.0
11370496,2.5219996,103.25,0.98
11386880,2.7086,77.68,1.0
11403264,2.52105,103.11,0.99
11419648,2.60015,93.62,1.0
11436032,2.59185,95.54,0.99
11452416,2.5554998,100.67,0.99
11468800,2.6423001,88.52,1.0
11485184,2.6013994,93.66,0.99
11501568,2.6021492,91.62,0.99
11517952,2.6887999,83.82,1.0
11534336,2.7007003,80.0,1.0
11550720,2.6055503,94.57,1.0
11567104,2.6450508,88.63,1.0
11583488,2.5283494,99.49,0.98
11599872,2.56775,99.59,1.0
11616256,2.5651493,94.58,0.98
11632640,2.6437,87.7,1.0
11649024,2.5940998,93.16,0.99
11665408,2.5683997,94.82,0.99
11681792,2.6629,86.58,1.0
11698176,2.6411,86.66,0.99
11714560,2.5818996,96.35,0.99
11730944,2.5713,97.97,1.0
11747328,2.68395,82.81,1.0
11763712,2.6890001,82.31,1.0
11780096,2.6729498,82.82,1.0
11796480,2.655,87.55,1.0
11812864,2.5896997,94.9,0.99
11829248,2.5918496,93.05,0.99
11845632,2.6097,91.91,0.99
11862016,2.6768005,83.91,1.0
11878400,2.5073001,107.74,1.0
11894784,2.593,94.21,0.99
11911168,2.6014504,95.85,1.0
11927552,2.4570992,112.37,0.98
11943936,2.6411002,87.99,1.0
11960320,2.6468,86.47,1.0
11976704,2.5468998,101.93,0.99
11993088,2.6631002,84.9,1.0
12009472,2.5531993,97.4,0.98
