model,length,success,spl
0,846.96,0.46,0.013353268155650981
100000,843.125,0.425,0.01286258516832179
200000,171.2237168141593,0.9650442477876107,0.1910664622407896
300000,166.8544827586207,0.9704597701149426,0.19254517939992563
400000,170.91578378378378,0.9697837837837838,0.1883284876951857
500000,173.6182142857143,0.9688265306122449,0.1858392753866313
600000,174.9594685990338,0.9685507246376811,0.18447189029180647
700000,175.5222018348624,0.968440366972477,0.18377290765786478
800000,175.22314410480348,0.9687772925764192,0.18368094823303407
900000,175.14225,0.9690416666666667,0.18345426448399682
1000000,771.15,0.5,0.02038765788301206
1100000,293.96285714285716,0.8714285714285714,0.14936653583648768
1200000,236.2612,0.918,0.16424642069410253
1300000,212.51611111111112,0.9352777777777778,0.17311196194851847
1400000,197.91425531914894,0.9461702127659575,0.1788557496853166
1500000,189.1103448275862,0.9532758620689655,0.1824483839304022
1600000,181.86014492753623,0.9582608695652174,0.18496356421744253
1700000,177.42775,0.96075,0.18672629732964593
1800000,173.4124175824176,0.9635164835164836,0.18916805317294677
1900000,170.52401960784314,0.966078431372549,0.1904795322640616
2000000,172.48149122807018,0.9648245614035088,0.1901182935492132
2100000,169.82216,0.96656,0.19165930264621198
2200000,167.25757352941176,0.9686764705882352,0.1928072481910916
2300000,164.68197278911563,0.9706122448979592,0.19396728779158062
2400000,163.02158227848102,0.9718987341772152,0.19490934709162128
2500000,161.44686390532544,0.9731952662721893,0.19549330525651964
2600000,162.09794117647058,0.9732352941176471,0.19489835170934974
2700000,162.57766081871344,0.9732748538011696,0.19441121626164842
2800000,162.98313953488372,0.9732558139534884,0.1939359112305657
2900000,163.60404624277456,0.9728901734104046,0.19353632509009833
3000000,167.26074285714284,0.9705714285714285,0.19199984125398217
3100000,167.448125,0.9707386363636363,0.19158147728422287
3200000,167.7271186440678,0.9707344632768362,0.1912264790176679
3300000,167.76595505617976,0.9708988764044943,0.1909552702979513
3400000,167.8003910614525,0.9710614525139665,0.1906339660958343
3500000,167.88827777777777,0.9711111111111111,0.19030504716835114
3600000,167.91276243093924,0.9712154696132597,0.19000792787792664
3700000,167.93181318681317,0.9713736263736263,0.18973229128326596
3800000,168.08103825136612,0.9715300546448088,0.18944368862761693
3900000,168.04152173913045,0.9716847826086956,0.1892005082136116
4000000,170.8251075268817,0.9699462365591398,0.1882747425452241
4100000,170.73470588235296,0.9701069518716577,0.18818208697194613
4200000,170.77952127659574,0.9702659574468085,0.18796608266394554
4300000,171.02253968253967,0.9703703703703703,0.18757227530381174
4400000,171.073,0.9705263157894737,0.18744313099217108
4500000,171.05706806282723,0.9706282722513089,0.18728253868573708
4600000,171.02744791666666,0.97078125,0.18706694828186982
4700000,170.9519170984456,0.9709326424870466,0.18688028041573093
4800000,170.8830412371134,0.9710309278350515,0.18671938125630913
4900000,170.7260512820513,0.9711794871794872,0.18668622767277993
5000000,173.4282233502538,0.9689847715736041,0.18588287364085437
5100000,173.33388888888888,0.9691414141414142,0.18582670299998083
5200000,173.28145728643216,0.9692964824120603,0.18569438667308716
5300000,173.1305,0.96945,0.18558172821273383
5400000,172.99751243781094,0.9696019900497512,0.1855818339447914
5500000,172.9170297029703,0.9696534653465346,0.18544482122280348
5600000,172.84108374384238,0.9698029556650246,0.1853387885516494
5700000,172.83303921568628,0.9698529411764706,0.1852604817318474
5800000,172.60321951219512,0.97,0.18530997053016848
5900000,172.4923786407767,0.9701456310679611,0.18524769342189526
6000000,174.8564903846154,0.968701923076923,0.18442864139665685
6100000,174.6580861244019,0.9688516746411483,0.1845392477855792
6200000,174.5555238095238,0.969,0.18440435674125494
6300000,174.41857819905212,0.9691469194312796,0.184387614371253
6400000,174.23716981132077,0.9692924528301887,0.1843281823655112
6500000,174.0513145539906,0.9694366197183099,0.18442923162465538
6600000,173.94845794392523,0.9694859813084112,0.184414752649456
6700000,173.8513023255814,0.9695813953488372,0.18433806084127707
6800000,173.6377314814815,0.9696759259259259,0.18446114699423558
6900000,173.39308755760368,0.969815668202765,0.18447480029884436
7000000,175.34520547945206,0.9685844748858448,0.18375652464679468
7100000,175.11872727272728,0.9687272727272728,0.1838450942467351
7200000,175.06819004524885,0.9688235294117648,0.18376219097277674
7300000,174.80297297297298,0.968963963963964,0.18382031180634154
7400000,174.56412556053812,0.9691031390134529,0.18392259701192637
7500000,174.42316964285715,0.9692410714285714,0.18388548509260821
7600000,174.1067111111111,0.9693777777777778,0.18406772188897574
7700000,173.89862831858406,0.9695132743362832,0.18411737693209645
7800000,173.6862114537445,0.969647577092511,0.1842156666245232
7900000,173.51842105263157,0.9697807017543859,0.1842965592431676
8000000,175.1001304347826,0.9688695652173913,0.1837307898923459
8100000,174.9608658008658,0.969004329004329,0.18368812679918287
8200000,174.83323275862068,0.9690948275862069,0.18363372517215268
8300000,174.61609442060086,0.9692274678111588,0.18373548637918252
8400000,174.38521367521366,0.9693162393162393,0.18390028949886508
8500000,174.27608510638296,0.969404255319149,0.18387390846413992
8600000,174.13661016949152,0.9694915254237289,0.18386621938520706
8700000,173.87995780590717,0.9696202531645569,0.18402900337007336
8800000,173.70605042016805,0.9697478991596639,0.18399482870514147
8900000,173.47476987447698,0.9698744769874477,0.18406527403145462
9000000,174.95352697095436,0.9691701244813278,0.18345423736941927
9100000,174.76173553719008,0.969297520661157,0.18350462930882752
9200000,174.4741563786008,0.9694238683127572,0.1836072883829667
9300000,174.22188524590163,0.9695491803278689,0.18368518321124566
9400000,174.09130612244897,0.9696734693877551,0.18365005823284228
9500000,173.88626016260162,0.9697967479674797,0.18369699193637914
9600000,173.6897165991903,0.9699190283400809,0.18371916067912242
9700000,173.47870967741935,0.9700403225806452,0.18383551997429043
9800000,173.25008032128514,0.9701606425702811,0.18394748973004754
9900000,173.07348,0.97028,0.18399591281144526
10000000,606.7075,0.625,0.06822575315721034
10100000,509.798,0.698,0.09681523206248753
10200000,448.255,0.7466666666666667,0.11108773705383022
10300000,401.69142857142856,0.7828571428571428,0.12330907885326123
10400000,366.6575,0.81,0.13290778922349405
10500000,341.35555555555555,0.8311111111111111,0.1387505983346036
10600000,319.497,0.847,0.14890992977669396
10700000,303.27272727272725,0.860909090909091,0.15033045561906783
10800000,287.9875,0.8725,0.1551938727092487
10900000,274.6130769230769,0.8823076923076923,0.15772806370643103
11000000,283.31466666666665,0.8793333333333333,0.15300290467701388
11100000,272.626875,0.886875,0.15633097007309016
11200000,264.0176470588235,0.8935294117647059,0.1596280217124598
11300000,256.755,0.8994444444444445,0.1617242337154683
11400000,249.09421052631578,0.9047368421052632,0.1639904034640397
11500000,242.362,0.9095,0.1657523143754366
11600000,237.8947619047619,0.9133333333333333,0.16591460943644315
11700000,233.15454545454546,0.9168181818181819,0.16767603800721256
11800000,228.0691304347826,0.9204347826086956,0.16907304135745374
11900000,224.52958333333333,0.9233333333333333,0.16905313938945685
12000000,232.86807692307693,0.9207692307692308,0.16563890102163858
12100000,229.29555555555555,0.9237037037037037,0.16697181562130262
12200000,225.42714285714285,0.9264285714285714,0.16832188760655395
12300000,222.19206896551725,0.9286206896551724,0.16922500464888535
12400000,218.60733333333334,0.931,0.17018121848640871
12500000,215.67774193548388,0.9329032258064516,0.1714001941929611
12600000,212.709375,0.9346875,0.17255638913674898
12700000,209.99030303030304,0.9366666666666666,0.17346251983250102
12800000,207.17382352941178,0.9385294117647058,0.1753476727079661
12900000,204.41714285714286,0.9402857142857143,0.17669592893896516
13000000,209.8091891891892,0.937027027027027,0.17421126357224273
13100000,207.27789473684211,0.9386842105263158,0.1753023891850284
13200000,205.0702564102564,0.94,0.17640034884665062
13300000,203.056,0.9415,0.17727118627914146
13400000,200.44170731707317,0.9429268292682926,0.1782994760891616
13500000,198.56785714285715,0.9442857142857143,0.17901529121138746
13600000,196.93,0.9455813953488372,0.18005586241055446
13700000,195.13045454545454,0.946590909090909,0.1808903804598182
13800000,193.59355555555555,0.9477777777777778,0.1812886796494585
13900000,192.50804347826087,0.9484782608695652,0.1814664653532041
14000000,196.448125,0.9472916666666666,0.17969269093557125
14100000,195.49979591836734,0.9483673469387756,0.17971897905453438
14200000,194.0814,0.9494,0.18014951060557838
14300000,192.71470588235294,0.9503921568627451,0.1808541652014199
14400000,191.25307692307692,0.9511538461538461,0.18179221109873478
14500000,189.9145283018868,0.9520754716981132,0.1822040715933214
14600000,188.16018518518518,0.952962962962963,0.1835096513898424
14700000,187.0758181818182,0.9538181818181818,0.1836800557668131
14800000,185.99392857142857,0.9546428571428571,0.18409672792313922
14900000,184.8059649122807,0.9552631578947368,0.1845912314174276
15000000,187.9164406779661,0.9540677966101695,0.18321227387424416
15100000,186.75633333333334,0.9548333333333333,0.18328517815836873
15200000,185.56524590163934,0.9554098360655737,0.18374768698819063
15300000,184.44096774193548,0.9561290322580646,0.18416418308496774
15400000,183.2879365079365,0.9568253968253968,0.18483478415627108
15500000,182.1715625,0.9575,0.18530463666217506
15600000,181.21676923076924,0.9581538461538461,0.18555344437506616
15700000,180.2428787878788,0.9587878787878787,0.1861823023162585
15800000,179.31149253731343,0.9594029850746268,0.18654507370747905
15900000,178.28514705882353,0.96,0.18682454982350144
16000000,181.0032857142857,0.9588571428571429,0.18534426099835277
16100000,179.99281690140845,0.9594366197183098,0.18600744019096113
16200000,179.00736111111112,0.96,0.18651216374596727
16300000,177.94095890410958,0.9605479452054795,0.18697386499445856
16400000,177.25040540540542,0.9608108108108108,0.18728036358690514
16500000,176.36213333333333,0.9612,0.18788120733563465
16600000,175.76026315789474,0.9615789473684211,0.1881631781403237
16700000,175.2905194805195,0.9620779220779221,0.18818676016027727
16800000,174.62423076923076,0.9625641025641025,0.18828769427994646
16900000,174.1106329113924,0.9629113924050633,0.18825147287384741
17000000,176.66185185185185,0.9612345679012345,0.18706732632019665
17100000,175.81829268292682,0.9617073170731707,0.18762471698542202
17200000,175.1110843373494,0.9621686746987952,0.18797362004580606
17300000,174.51619047619047,0.9626190476190476,0.18832772386191715
17400000,174.10729411764706,0.9629411764705882,0.18839230440843205
17500000,173.31011627906977,0.9633720930232558,0.188952246894631
17600000,172.56,0.9637931034482758,0.18943101846371693
17700000,171.9403409090909,0.9642045454545455,0.1897957563192061
17800000,171.10842696629214,0.9646067415730337,0.19045149623093718
17900000,170.55,0.965,0.1905405193814743
18000000,172.835,0.9638043478260869,0.18957128368272697
18100000,172.3174193548387,0.9641935483870968,0.18969576850039724
18200000,171.6441489361702,0.9645744680851064,0.18986330392778566
18300000,171.09242105263158,0.9649473684210527,0.19007958991530297
18400000,170.60614583333333,0.9653125,0.1903964300067699
18500000,170.21020618556702,0.9655670103092784,0.19046677601248777
18600000,169.78418367346939,0.9658163265306122,0.190751618080879
18700000,169.31272727272727,0.9660606060606061,0.1911618963537254
18800000,168.7895,0.9663,0.19153352065054036
18900000,168.31732673267328,0.9666336633663366,0.19175368349134247
19000000,169.85708737864078,0.9664077669902913,0.1911942380387828
19100000,169.34307692307692,0.9667307692307693,0.19150690880688526
19200000,168.89990476190476,0.967047619047619,0.1918368265390769
19300000,168.28198113207546,0.9673584905660377,0.19218067714195994
19400000,167.9943925233645,0.9676635514018691,0.19194760959009421
19500000,167.50425925925927,0.9678703703703704,0.19223259370386123
19600000,167.03394495412843,0.9681651376146789,0.19229631967875208
19700000,166.48327272727272,0.9684545454545455,0.1925043040712784
19800000,166.20756756756757,0.9687387387387387,0.1925642018061392
19900000,165.98830357142856,0.9689285714285715,0.19260149976116744
20000000,171.9726956521739,0.9651304347826087,0.19042675256579264
20100000,171.45793103448275,0.9654310344827586,0.19066861601814872
20200000,170.92153846153846,0.9657264957264957,0.19088947263884196
20300000,170.45983050847457,0.9660169491525423,0.19125491181172977
20400000,170.17487394957982,0.966218487394958,0.1914059990431738
20500000,169.62325,0.9665,0.19182040769756775
20600000,169.38677685950412,0.966694214876033,0.19196485960877913
20700000,169.12647540983608,0.9669672131147541,0.19209155305264847
20800000,168.74349593495936,0.9671544715447155,0.19227474213464255
20900000,168.34443548387097,0.9673387096774193,0.19252701216709525
21000000,169.6538095238095,0.9667460317460318,0.19183280759680676
21100000,169.20708661417322,0.9670078740157481,0.19191636766425824
21200000,168.966171875,0.9671875,0.19199240786765492
21300000,168.54868217054263,0.9674418604651163,0.19230525373053245
21400000,168.11030769230769,0.9676923076923077,0.19256562844397251
21500000,167.73847328244275,0.9678625954198473,0.19271702376657995
21600000,167.2675,0.968030303030303,0.1931637754093552
21700000,166.8681954887218,0.9682706766917293,0.19332575592669743
21800000,166.56888059701492,0.9685074626865672,0.19341381496098994
21900000,166.3,0.9687407407407408,0.19357252512650874
22000000,166.8582481751825,0.9689051094890511,0.19294708683356332
22100000,166.37333333333333,0.9691304347826087,0.19318630951229218
22200000,166.0645323741007,0.9693525179856115,0.1931853539343789
22300000,165.74064285714286,0.9695714285714285,0.1933949102736549
22400000,165.39439716312057,0.9697872340425532,0.1935385021098089
22500000,165.1292957746479,0.9699295774647887,0.19378056839020502
22600000,164.8141958041958,0.9701398601398601,0.1938221280969758
22700000,164.56770833333334,0.9703472222222222,0.19399539292067247
22800000,164.10331034482758,0.970551724137931,0.19431762500331198
22900000,163.71671232876713,0.9707534246575342,0.19463347667655448
23000000,164.3045945945946,0.9708108108108108,0.19421594887173912
23100000,164.06288590604026,0.971006711409396,0.19428459437741843
23200000,163.727,0.9712,0.19444205601230605
