id,length,success,spl
0,776.99,0.48,0.019137301093846787
100000,698.8,0.53,0.03045084513416012
1000000,345.11,0.89,0.0809875775344152
10000000,109.59,0.99,0.24842081627867582
10100000,119.26,0.99,0.2316662330052123
10200000,94.12,1.0,0.2742377723941881
10300000,115.05,0.98,0.23328615882741752
10400000,102.76,1.0,0.2488677457229244
10500000,145.09,0.98,0.22311497727035545
10600000,136.6,0.97,0.23338300167220638
10700000,103.82,1.0,0.24906907984470844
10800000,127.84,0.97,0.2539996893403862
10900000,109.03,0.99,0.22819291152235066
1100000,382.78,0.85,0.076767083994841
11000000,104.91,0.99,0.2404825533677995
11100000,108.19,0.99,0.2629862530251027
11200000,98.12,1.0,0.24479413851120754
11300000,95.34,1.0,0.26778931680240803
11400000,107.77,0.99,0.23963080141217868
11500000,101.0,1.0,0.2569841485634525
11600000,93.05,1.0,0.26441715888474504
11700000,116.73,0.99,0.23151953368355194
11800000,98.92,1.0,0.27345583045687116
11900000,112.64,1.0,0.260305618672859
1200000,352.75,0.9,0.08592323403531556
12000000,118.97,1.0,0.1925079226395806
12100000,124.8,1.0,0.2591658111088488
12200000,114.87,0.98,0.26038112088133875
12300000,121.68,0.98,0.28673628811838947
12400000,105.6,0.99,0.2631429418510808
12500000,104.07,0.99,0.262036986728784
12600000,93.35,1.0,0.27057656968686755
12700000,106.15,1.0,0.25248565449005633
12800000,105.31,1.0,0.21954475454480993
12900000,110.25,1.0,0.2272103472281728
1300000,273.82,0.97,0.09285537672071119
13000000,110.66,0.98,0.2343459240990906
13100000,93.41,1.0,0.25781732649815814
13200000,108.27,1.0,0.24318288159606902
13300000,114.41,1.0,0.25290038498359513
13400000,104.99,0.99,0.2556817922672935
13500000,146.0,0.98,0.2061768202453241
13600000,107.48,0.99,0.23747662697893238
13700000,136.26,0.98,0.19000219138104704
13800000,96.17,1.0,0.25810842373048437
13900000,96.8,1.0,0.26021099029560946
1400000,300.92,0.92,0.09943402842495117
14000000,98.62,1.0,0.23349759445818058
14100000,127.22,1.0,0.20180766127708225
14200000,93.13,1.0,0.2580601680820534
